MU        	01	2006	ES	Cabecera_sup        	FACTURA
MU        	01	2006	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2006	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2007	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2007	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2007	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
FMU       	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
FMU       	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2006	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
FMU       	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2006	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2007	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2009	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2010	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2011	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
PROFOR    	01	2010	ES	Cabecera            	PROFORMA DE GASTOS COLEGIALES
PROFOR    	01	2011	ES	Cabecera            	PROFORMA DE GASTOS COLEGIALES
PROFOR    	02	2011	ES	Cabecera            	PROFORMA
PREMAA    	01	2006	% 	Cabecera            	RECIBO
MUSAAT    	01	2006	% 	Cabecera            	RECIBO
PREMAA    	01	2007	% 	Cabecera            	RECIBO
MUSAAT    	01	2007	% 	Cabecera            	RECIBO
R         	01	2007	% 	Cabecera            	RECIBO
PREMAA    	01	2008	% 	Cabecera            	RECIBO
MUSAAT    	01	2008	% 	Cabecera            	RECIBO
R         	01	2008	% 	Cabecera            	RECIBO
PREMAA    	01	2009	% 	Cabecera            	RECIBO
MUSAAT    	01	2009	% 	Cabecera            	RECIBO
R         	01	2009	% 	Cabecera            	RECIBO
PREMAA    	01	2010	% 	Cabecera            	RECIBO
MUSAAT    	01	2010	% 	Cabecera            	RECIBO
R         	01	2010	% 	Cabecera            	RECIBO
PREMAA    	01	2011	% 	Cabecera            	RECIBO
MUSAAT    	01	2011	% 	Cabecera            	RECIBO
R         	01	2011	% 	Cabecera            	RECIBO
PC        	02	2011	% 	Cabecera            	RECIBO
PF        	02	2011	% 	Cabecera            	RECIBO
MT        	02	2011	% 	Cabecera            	RECIBO
RECTIF    	02	2011	% 	Cabecera            	RECIBO
%         	% 	%   	% 	Cabecera            	FACTURA
MU        	01	2006	% 	N_fact              	FACTURA Nº
RECTIF    	01	2006	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2007	% 	N_fact              	FACTURA Nº
MU        	01	2007	% 	N_fact              	FACTURA Nº
RECTIF    	01	2007	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2008	% 	N_fact              	FACTURA Nº
RECTIF    	01	2008	% 	N_fact              	FACTURA Nº
MU        	01	2009	% 	N_fact              	FACTURA Nº
RECTIF    	01	2009	% 	N_fact              	FACTURA Nº
FMU       	01	2009	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2010	% 	N_fact              	FACTURA Nº
MU        	01	2010	% 	N_fact              	FACTURA Nº
RECTIF    	01	2010	% 	N_fact              	FACTURA Nº
FMU       	01	2010	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2006	% 	N_fact              	FACTURA Nº
MU        	01	2008	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2011	% 	N_fact              	FACTURA Nº
MU        	01	2011	% 	N_fact              	FACTURA Nº
RECTIF    	01	2011	% 	N_fact              	FACTURA Nº
FMU       	01	2011	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2009	% 	N_fact              	FACTURA Nº
F         	01	2006	% 	N_fact              	FACTURA Nº
F         	01	2007	% 	N_fact              	FACTURA Nº
F         	01	2008	% 	N_fact              	FACTURA Nº
F         	01	2009	% 	N_fact              	FACTURA Nº
F         	01	2010	% 	N_fact              	FACTURA Nº
F         	01	2011	% 	N_fact              	FACTURA Nº
PROFOR    	01	2010	% 	N_fact              	PROFORMA Nº
PROFOR    	01	2011	% 	N_fact              	PROFORMA Nº
PROFOR    	02	2011	% 	N_fact              	PROFORMA Nº
PREMAA    	01	2006	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2006	% 	N_fact              	RECIBO Nº
PREMAA    	01	2007	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2007	% 	N_fact              	RECIBO Nº
R         	01	2007	% 	N_fact              	RECIBO Nº
PREMAA    	01	2008	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2008	% 	N_fact              	RECIBO Nº
R         	01	2008	% 	N_fact              	RECIBO Nº
PREMAA    	01	2009	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2009	% 	N_fact              	RECIBO Nº
R         	01	2009	% 	N_fact              	RECIBO Nº
PREMAA    	01	2010	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2010	% 	N_fact              	RECIBO Nº
R         	01	2010	% 	N_fact              	RECIBO Nº
PREMAA    	01	2011	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2011	% 	N_fact              	RECIBO Nº
R         	01	2011	% 	N_fact              	RECIBO Nº
PC        	02	2011	% 	N_fact              	RECIBO Nº
PF        	02	2011	% 	N_fact              	RECIBO Nº
MT        	02	2011	% 	N_fact              	RECIBO Nº
RECTIF    	02	2011	% 	N_fact              	RECIBO Nº
%         	% 	%   	% 	N_fact              	FACTURA Nº
MU        	01	2006	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2006	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2007	% 	Total_fact          	TOTAL FACTURA
MU        	01	2007	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2007	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2008	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2008	% 	Total_fact          	TOTAL FACTURA
MU        	01	2009	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2009	% 	Total_fact          	TOTAL FACTURA
FMU       	01	2009	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2010	% 	Total_fact          	TOTAL FACTURA
MU        	01	2010	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2010	% 	Total_fact          	TOTAL FACTURA
FMU       	01	2010	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2006	% 	Total_fact          	TOTAL FACTURA
MU        	01	2008	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2011	% 	Total_fact          	TOTAL FACTURA
MU        	01	2011	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2011	% 	Total_fact          	TOTAL FACTURA
FMU       	01	2011	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2009	% 	Total_fact          	TOTAL FACTURA
F         	01	2006	% 	Total_fact          	TOTAL FACTURA
F         	01	2007	% 	Total_fact          	TOTAL FACTURA
F         	01	2008	% 	Total_fact          	TOTAL FACTURA
F         	01	2009	% 	Total_fact          	TOTAL FACTURA
F         	01	2010	% 	Total_fact          	TOTAL FACTURA
F         	01	2011	% 	Total_fact          	TOTAL FACTURA
PROFOR    	01	2010	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	01	2011	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	02	2011	% 	Total_fact          	TOTAL PROFORMA
PREMAA    	01	2006	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2006	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2007	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2007	% 	Total_fact          	TOTAL RECIBO
R         	01	2007	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2008	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2008	% 	Total_fact          	TOTAL RECIBO
R         	01	2008	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2009	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2009	% 	Total_fact          	TOTAL RECIBO
R         	01	2009	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2010	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2010	% 	Total_fact          	TOTAL RECIBO
R         	01	2010	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2011	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2011	% 	Total_fact          	TOTAL RECIBO
R         	01	2011	% 	Total_fact          	TOTAL RECIBO
PC        	02	2011	% 	Total_fact          	TOTAL RECIBO
PF        	02	2011	% 	Total_fact          	TOTAL RECIBO
MT        	02	2011	% 	Total_fact          	TOTAL RECIBO
RECTIF    	02	2011	% 	Total_fact          	TOTAL RECIBO
%         	% 	%   	% 	Total_fact          	TOTAL FACTURA
MT        	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
MU        	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
MUSAAT    	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PC        	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PF        	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PREMAA    	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PROFOR    	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
RECTIF    	02	2011	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PC        	02	2011	% 	n_emisor3           	con número de registro:M0368B24613945
COLEGIADOS	01	2012	ES	Cabecera_sup        	FACTURA
MU        	01	2012	ES	Cabecera_sup        	FACTURA
RECTIF    	01	2012	ES	Cabecera_sup        	FACTURA
FMU       	01	2012	ES	Cabecera_sup        	FACTURA
F         	01	2012	ES	Cabecera_sup        	FACTURA
PROFOR    	01	2012	ES	Cabecera_sup        	PROFORMA
PROFOR    	02	2012	ES	Cabecera_sup        	PROFORMA
PREMAA    	01	2012	% 	Cabecera_sup        	RECIBO
MUSAAT    	01	2012	% 	Cabecera_sup        	RECIBO
R         	01	2012	% 	Cabecera_sup        	RECIBO
PC        	02	2012	% 	Cabecera_sup        	RECIBO
PF        	02	2012	% 	Cabecera_sup        	RECIBO
MT        	02	2012	% 	Cabecera_sup        	RECIBO
RECTIF    	02	2012	% 	Cabecera_sup        	RECIBO
COLEGIADOS	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
MU        	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
FMU       	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
F         	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
PROFOR    	01	2012	ES	Cabecera            	PROFORMA DE GASTOS COLEGIALES
PROFOR    	02	2012	ES	Cabecera            	PROFORMA
PREMAA    	01	2012	% 	Cabecera            	RECIBO
MUSAAT    	01	2012	% 	Cabecera            	RECIBO
R         	01	2012	% 	Cabecera            	RECIBO
PC        	02	2012	% 	Cabecera            	RECIBO
PF        	02	2012	% 	Cabecera            	RECIBO
MT        	02	2012	% 	Cabecera            	RECIBO
RECTIF    	02	2012	% 	Cabecera            	RECIBO
COLEGIADOS	01	2012	% 	N_fact              	FACTURA Nº
MU        	01	2012	% 	N_fact              	FACTURA Nº
RECTIF    	01	2012	% 	N_fact              	FACTURA Nº
FMU       	01	2012	% 	N_fact              	FACTURA Nº
F         	01	2012	% 	N_fact              	FACTURA Nº
PROFOR    	01	2012	% 	N_fact              	PROFORMA Nº
PROFOR    	02	2012	% 	N_fact              	PROFORMA Nº
PREMAA    	01	2012	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2012	% 	N_fact              	RECIBO Nº
R         	01	2012	% 	N_fact              	RECIBO Nº
PC        	02	2012	% 	N_fact              	RECIBO Nº
PF        	02	2012	% 	N_fact              	RECIBO Nº
MT        	02	2012	% 	N_fact              	RECIBO Nº
RECTIF    	02	2012	% 	N_fact              	RECIBO Nº
COLEGIADOS	01	2012	% 	Total_fact          	TOTAL FACTURA
MU        	01	2012	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2012	% 	Total_fact          	TOTAL FACTURA
FMU       	01	2012	% 	Total_fact          	TOTAL FACTURA
F         	01	2012	% 	Total_fact          	TOTAL FACTURA
PROFOR    	01	2012	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	02	2012	% 	Total_fact          	TOTAL PROFORMA
PREMAA    	01	2012	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2012	% 	Total_fact          	TOTAL RECIBO
R         	01	2012	% 	Total_fact          	TOTAL RECIBO
PC        	02	2012	% 	Total_fact          	TOTAL RECIBO
PF        	02	2012	% 	Total_fact          	TOTAL RECIBO
MT        	02	2012	% 	Total_fact          	TOTAL RECIBO
RECTIF    	02	2012	% 	Total_fact          	TOTAL RECIBO
MT        	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
MU        	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
MUSAAT    	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PC        	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PF        	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PREMAA    	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PROFOR    	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
RECTIF    	02	2012	% 	N_emisor2           	Agencia exclusiva de MUSAAT, Mutua de Seguros a Prima Fija,con número de registro:M0368B24613945
PC        	02	2012	% 	n_emisor3           	con número de registro:M0368B24613945
