EXPEDI    	01	2008	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
EXPEDI    	01	2009	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2009	% 	N_fact              	FACTURA Nº
GASCOL    	01	2009	% 	N_fact              	FACTURA Nº
CLIEN     	01	2009	% 	N_fact              	FACTURA Nº
000       	02	2009	% 	N_fact              	FACTURA Nº
RECTIF    	01	2009	% 	N_fact              	FACTURA Nº
EXPEDI    	01	2010	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2010	% 	N_fact              	FACTURA Nº
GASCOL    	01	2010	% 	N_fact              	FACTURA Nº
CLIEN     	01	2010	% 	N_fact              	FACTURA Nº
000       	02	2010	% 	N_fact              	FACTURA Nº
RECTIF    	01	2010	% 	N_fact              	FACTURA Nº
EXPEDI    	01	2011	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2011	% 	N_fact              	FACTURA Nº
GASCOL    	01	2011	% 	N_fact              	FACTURA Nº
CLIEN     	01	2011	% 	N_fact              	FACTURA Nº
000       	02	2011	% 	N_fact              	FACTURA Nº
RECTIF    	01	2011	% 	N_fact              	FACTURA Nº
PROFOR    	01	2010	% 	N_fact              	PROFORMA Nº
PROFOR    	01	2011	% 	N_fact              	PROFORMA Nº
PREMAA    	01	2008	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2009	% 	N_fact              	RECIBO Nº
PREMAA    	01	2009	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2010	% 	N_fact              	RECIBO Nº
PREMAA    	01	2010	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2011	% 	N_fact              	RECIBO Nº
PREMAA    	01	2011	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2008	% 	N_fact              	RECIBO Nº
%         	% 	%   	% 	N_fact              	FACTURA Nº
EXPEDI    	01	2008	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2008	% 	Total_fact          	TOTAL FACTURA
GASCOL    	01	2008	% 	Total_fact          	TOTAL FACTURA
CLIEN     	01	2008	% 	Total_fact          	TOTAL FACTURA
000       	02	2008	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2008	% 	Total_fact          	TOTAL FACTURA
EXPEDI    	01	2009	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2009	% 	Total_fact          	TOTAL FACTURA
GASCOL    	01	2009	% 	Total_fact          	TOTAL FACTURA
CLIEN     	01	2009	% 	Total_fact          	TOTAL FACTURA
000       	02	2009	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2009	% 	Total_fact          	TOTAL FACTURA
EXPEDI    	01	2010	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2010	% 	Total_fact          	TOTAL FACTURA
GASCOL    	01	2010	% 	Total_fact          	TOTAL FACTURA
CLIEN     	01	2010	% 	Total_fact          	TOTAL FACTURA
000       	02	2010	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2010	% 	Total_fact          	TOTAL FACTURA
EXPEDI    	01	2011	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2011	% 	Total_fact          	TOTAL FACTURA
GASCOL    	01	2011	% 	Total_fact          	TOTAL FACTURA
CLIEN     	01	2011	% 	Total_fact          	TOTAL FACTURA
000       	02	2011	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2011	% 	Total_fact          	TOTAL FACTURA
PROFOR    	01	2010	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	01	2011	% 	Total_fact          	TOTAL PROFORMA
PREMAA    	01	2008	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2009	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2009	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2010	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2010	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2011	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2011	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2008	% 	Total_fact          	TOTAL RECIBO
%         	% 	%   	% 	Total_fact          	TOTAL FACTURA
EXPEDI    	01	2008	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
COLEGIADOS	01	2008	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
GASCOL    	01	2008	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
CLIEN     	01	2008	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
000       	02	2008	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
RECTIF    	01	2008	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
EXPEDI    	01	2009	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
COLEGIADOS	01	2009	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
GASCOL    	01	2009	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
CLIEN     	01	2009	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
000       	02	2009	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
RECTIF    	01	2009	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
EXPEDI    	01	2010	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
COLEGIADOS	01	2010	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
GASCOL    	01	2010	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
CLIEN     	01	2010	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
000       	02	2010	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
RECTIF    	01	2010	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
EXPEDI    	01	2011	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
COLEGIADOS	01	2011	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
GASCOL    	01	2011	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
CLIEN     	01	2011	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
000       	02	2011	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
RECTIF    	01	2011	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
PROFOR    	01	2010	% 	Coletilla_fact      	 de la presente proforma-, efectuará el abono de la misma
PROFOR    	01	2011	% 	Coletilla_fact      	 de la presente proforma-, efectuará el abono de la misma
PREMAA    	01	2008	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
MUSAAT    	01	2009	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
PREMAA    	01	2009	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
MUSAAT    	01	2010	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
PREMAA    	01	2010	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
MUSAAT    	01	2011	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
PREMAA    	01	2011	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
MUSAAT    	01	2008	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
%         	% 	%   	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
MT        	03	2011	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
PC        	03	2011	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
PF        	03	2011	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
PROFOR    	03	2011	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
RECTIF    	03	2011	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
EXPEDI    	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
COLEGIADOS	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
GASCOL    	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
CLIEN     	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2012	ES	Cabecera            	FACTURA DE GASTOS COLEGIALES
000       	02	2012	ES	Cabecera            	FACTURA
PROFOR    	01	2012	ES	Cabecera            	PROFORMA DE GASTOS COLEGIALES
MUSAAT    	01	2012	% 	Cabecera            	RECIBO
PREMAA    	01	2012	% 	Cabecera            	RECIBO
EXPEDI    	01	2012	% 	N_fact              	FACTURA Nº
COLEGIADOS	01	2012	% 	N_fact              	FACTURA Nº
GASCOL    	01	2012	% 	N_fact              	FACTURA Nº
CLIEN     	01	2012	% 	N_fact              	FACTURA Nº
000       	02	2012	% 	N_fact              	FACTURA Nº
RECTIF    	01	2012	% 	N_fact              	FACTURA Nº
PROFOR    	01	2012	% 	N_fact              	PROFORMA Nº
MUSAAT    	01	2012	% 	N_fact              	RECIBO Nº
PREMAA    	01	2012	% 	N_fact              	RECIBO Nº
EXPEDI    	01	2012	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2012	% 	Total_fact          	TOTAL FACTURA
GASCOL    	01	2012	% 	Total_fact          	TOTAL FACTURA
CLIEN     	01	2012	% 	Total_fact          	TOTAL FACTURA
000       	02	2012	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2012	% 	Total_fact          	TOTAL FACTURA
PROFOR    	01	2012	% 	Total_fact          	TOTAL PROFORMA
MUSAAT    	01	2012	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2012	% 	Total_fact          	TOTAL RECIBO
EXPEDI    	01	2012	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
COLEGIADOS	01	2012	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
GASCOL    	01	2012	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
CLIEN     	01	2012	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
000       	02	2012	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
RECTIF    	01	2012	% 	Coletilla_fact      	 de la presente factura-, efectuará el abono de la misma
PROFOR    	01	2012	% 	Coletilla_fact      	 de la presente proforma-, efectuará el abono de la misma
MUSAAT    	01	2012	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
PREMAA    	01	2012	% 	Coletilla_fact      	 del presente recibo-, efectuará el abono del mismo
MT        	03	2012	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
PC        	03	2012	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
PF        	03	2012	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
PROFOR    	03	2012	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
RECTIF    	03	2012	% 	N_emisor2           	Agencia de seguros exclusiva de MUSAAT, Mutua de Seguros a Prima Fija, con número de registro: M0368B95615241.
