COLEGIADOS	01	2008	% 	Cabecera            	FACTURA DE GASTOS COLEGIALES
RECTIF    	01	2011	% 	N_fact              	FACTURA Nº
V         	01	2011	% 	N_fact              	FACTURA Nº
MU        	01	2010	% 	N_fact              	FACTURA Nº
F         	01	2008	% 	N_fact              	FACTURA Nº
F         	01	2009	% 	N_fact              	FACTURA Nº
F         	01	2010	% 	N_fact              	FACTURA Nº
F         	01	2011	% 	N_fact              	FACTURA Nº
PROFOR    	01	2010	% 	N_fact              	PROFORMA Nº
PROFOR    	01	2011	% 	N_fact              	PROFORMA Nº
PROFOR    	02	2011	% 	N_fact              	PROFORMA Nº
PREMAA    	01	2008	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2008	% 	N_fact              	RECIBO Nº
R         	01	2008	% 	N_fact              	RECIBO Nº
PF        	01	2008	% 	N_fact              	RECIBO Nº
PREMAA    	01	2009	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2009	% 	N_fact              	RECIBO Nº
R         	01	2009	% 	N_fact              	RECIBO Nº
PF        	01	2009	% 	N_fact              	RECIBO Nº
PREMAA    	01	2010	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2010	% 	N_fact              	RECIBO Nº
R         	01	2010	% 	N_fact              	RECIBO Nº
PF        	01	2010	% 	N_fact              	RECIBO Nº
PREMAA    	01	2011	% 	N_fact              	RECIBO Nº
MUSAAT    	01	2011	% 	N_fact              	RECIBO Nº
R         	01	2011	% 	N_fact              	RECIBO Nº
PF        	01	2011	% 	N_fact              	RECIBO Nº
NAPC      	02	2011	% 	N_fact              	RECIBO Nº
NAPF      	02	2011	% 	N_fact              	RECIBO Nº
NAPM      	02	2011	% 	N_fact              	RECIBO Nº
RECTIF    	02	2011	% 	N_fact              	RECIBO Nº
%         	% 	%   	% 	N_fact              	FACTURA Nº
PROFOR    	01	2010	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	01	2011	% 	Total_fact          	TOTAL PROFORMA
PROFOR    	02	2011	% 	Total_fact          	TOTAL PROFORMA
COLEGIADOS	01	2008	% 	Total_fact          	TOTAL FACTURA
MU        	01	2008	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2008	% 	Total_fact          	TOTAL FACTURA
V         	01	2008	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2009	% 	Total_fact          	TOTAL FACTURA
MU        	01	2009	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2009	% 	Total_fact          	TOTAL FACTURA
V         	01	2009	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2010	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2010	% 	Total_fact          	TOTAL FACTURA
V         	01	2010	% 	Total_fact          	TOTAL FACTURA
COLEGIADOS	01	2011	% 	Total_fact          	TOTAL FACTURA
MU        	01	2011	% 	Total_fact          	TOTAL FACTURA
RECTIF    	01	2011	% 	Total_fact          	TOTAL FACTURA
V         	01	2011	% 	Total_fact          	TOTAL FACTURA
MU        	01	2010	% 	Total_fact          	TOTAL FACTURA
F         	01	2008	% 	Total_fact          	TOTAL FACTURA
F         	01	2009	% 	Total_fact          	TOTAL FACTURA
F         	01	2010	% 	Total_fact          	TOTAL FACTURA
F         	01	2011	% 	Total_fact          	TOTAL FACTURA
PREMAA    	01	2008	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2008	% 	Total_fact          	TOTAL RECIBO
R         	01	2008	% 	Total_fact          	TOTAL RECIBO
PF        	01	2008	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2009	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2009	% 	Total_fact          	TOTAL RECIBO
R         	01	2009	% 	Total_fact          	TOTAL RECIBO
PF        	01	2009	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2010	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2010	% 	Total_fact          	TOTAL RECIBO
R         	01	2010	% 	Total_fact          	TOTAL RECIBO
PF        	01	2010	% 	Total_fact          	TOTAL RECIBO
PREMAA    	01	2011	% 	Total_fact          	TOTAL RECIBO
MUSAAT    	01	2011	% 	Total_fact          	TOTAL RECIBO
R         	01	2011	% 	Total_fact          	TOTAL RECIBO
PF        	01	2011	% 	Total_fact          	TOTAL RECIBO
NAPC      	02	2011	% 	Total_fact          	TOTAL RECIBO
NAPF      	02	2011	% 	Total_fact          	TOTAL RECIBO
NAPM      	02	2011	% 	Total_fact          	TOTAL RECIBO
RECTIF    	02	2011	% 	Total_fact          	TOTAL RECIBO
%         	% 	%   	% 	Total_fact          	TOTAL FACTURA
NAPM      	02	2011	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B01474626
NAPC      	02	2011	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B01474626
NAPF      	02	2011	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B01474626
PROFOR    	02	2011	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B01474626
RECTIF    	02	2011	% 	N_emisor2           	AGENCIA DE SEGUROS EXCLUSIVA DE MUSAAT, MUTUA DE SEGUROS A PRIMA FIJA, CON NUMERO DE REGISTRO: M0368B01474626
