E         	ESPECIAL: PUEDE HACER TODO.                       
E604      	COMPROBAR APTES. FECHA NO EJERCICIO               
E589      	CONSULTA LIMITADA DE PROYECTO/EXPLOTACIÓN EN F(DEL
TFE0000036	MODIFICACIÓN DEL Nº DE SALIDA EN CONTRATOS        
TFE0000037	MODIFICACIÓN DE LA FECHA DE ABONO EN CONTRATOS    
0000000038	MODIFICACIÓN DE LA DELEGACIÓN EN CAJA             
0000000039	CAJA                                              
E501      	CREAR EJERCICIO                                   
E502      	REPETIR CIERRE                                    
E503      	CREAR NUEVA EMPRESA                               
E510      	FACTURAS RECIBIDAS                                
E511      	PROVEEDORES                                       
E512      	EMISIÓN DE PAGOS                                  
E514      	MODIF.CONTADOR FR.PROV.                           
E520      	MTOS. GENERALES SIGESCON                          
E521      	MTO. DE CLIENTES                                  
E522      	MTO. ARTICULOS                                    
E530      	LIST. DE ASIENTOS / APUNTES                       
E531      	LIST. DE PRESUPUESTOS                             
E532      	LIST. DE PRESUPUESTOS CTAS. PRESUP.               
E533      	LIST. DE CLIENTES/PROVEEDORES                     
E535      	LIST. DE INMOVILIZADO ANUAL                       
E536      	LIST. DE INMOVILIZADO MENSUAL                     
E573      	MODIFICACIÓN DE ASIENTOS                          
E574      	INFORMES ANALÍTICOS Y BALANCES DE SUMAS           
E575      	BALANCES OFICIALES                                
E576      	EXTRACTOS DE CUENTAS                              
E577      	CONCILIACIÓN DE CUENTAS                           
E578      	ELEMENTOS DE INMOVILIZADO ANUAL                   
E579      	ELEMENTOS DE INMOVILIZADO MENSUAL                 
E580      	CÁLCULO DE AMORTIZACIONES ANUAL                   
E581      	CÁLCULO DE AMORTIZACIONES MENSUAL                 
E582      	PLAN DE CUENTAS PRESUPUESTARIAS                   
E583      	ENLACE PRESUPUESTARIO                             
E584      	PRESUPUESTOS DE CUENTAS PRESUPUESTARIAS           
E590      	COMPROBAR ASIENTOS DESCUADRADOS                   
E591      	REGENERACIÓN DE SALDOS Y CUENTAS                  
E592      	OBTENER SALDO CUENTA                              
E593      	COMPROBAR CUENTAS SUBNIVELES                      
E594      	COMPROBAR APTES. CUENTA NO DESARR.                
E595      	COMPROBAR APTES. SIN CUENTA                       
E596      	COMPROBAR APTES. CUENTA NO EXISTE                 
E597      	BUSCAR APTES. PRESUP. INCORRECTOS                 
E598      	BUSCAR APTES. SIN CTA. PRESUP.                    
E599      	RENUMERAC. ASIENTOS POR DIARIO                    
E600      	COMPROBAR APUNTES CON IMPORTE NULO                
E601      	DAR FORMATO DATOS TERCEROS                        
E621      	CONTABILIZAC. FR                                  
E622      	CONTABILIZAC. PAGOS FR                            
E623      	BORRAR FR                                         
E624      	CONTABILIZAC. FE                                  
E625      	CONTABILIZAC. COBROS FE                           
E626      	IMPRIMIR FE                                       
E627      	BORRAR ASIENTOS                                   
E628      	GENERAR TALONES PAGOS                             
E629      	GENERAR PAGARES PAGOS                             
E630      	GENERAR TRANSFERENCIAS PAGOS                      
E631      	BORRAR FE                                         
E632      	GESTION LIMITADA DE CUENTAS (SOLO 6 Y 7)          
E01       	ADMINISTRADOR DE LA EMPRESA 01                    
ESIG      	ACCESO TOTAL A CONTABILIDAD                       
E02       	ACCESO APLICACION EMPRESA 02                      
0000000040	RECEPTOR MENSAJE AL REGULARIZAR MUSAAT            
TFE0000038	MODIFICACIÓN DE LA MINUTA YA PAGADA               
COLEGFIRMA	COLEGIADOS FIRMA DIGITAL                          
ZGZ0000026	MODIF.. DE TIPO Y F. RECLAMACIN EN CONTRATOS      
ANFAC00001	ANULACIN RANGO FACTURAS                           
MANTSERIES	MANTENIMIENTO SERIES FACTURAS                     
0000000179	REGISTRO DE ALMACEN                               
PCOLBAJA00	PERMISO VER COLEGIADOS BAJA                       
0000000062	INFORME CAJA                                      
FEW       	Frontend Web                                      
REG_ES_MOD	REGISTRO ENTRADA SALIDA: Modificacion n_registro  
PERM_PASSW	Permiso para poder visualizar el Password         
FACT_E_MOD	FACTURACION EMITIDA: Modificacion Nº Factura      
