15        	HONORARIOS	H	HONOS		N	S	0.0	S	N	0.0	100	COAATTFE  	05	S		N	HON	N			S	S	01		N
150Vc     	PREMAAT - RECOMPRA VIUDEDAD (COMPLE)	02	-	45400002	N	S	0.0	N	N	0.0	0	COAATTFE  	00	N		S	Vc	N		S	N	N	01		N
1502k     	PREMAAT - CUOTA MES 2000	02	-	45400002	N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	2k	N			N	N	01		N
150Ba     	PREMAAT - CUOTA MES BASICO	02	-	45400002	N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	Ba	N			N	N	01		N
150C1     	PREMAAT - CUOTA MES COMPL.	02	-	45400002	N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	C1	N			N	N	01		N
94        	MUSAAT - REGULARIZACION PRIMA		-		N	N	0.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
LO        	LIBRO DE ORDENES	05	-		S	S	15.0	S	S	.75	800	COAATTFE  	05	N		N	LO	N		S	N	N	01		N
LI        	LIBRO DE INCIDENCIAS	05	-		S	S	15.0	S	S	.75	801	COAATTFE  	05	N		N	LI	N		S	N	N	01		N
00        	CONCEPTO GENERICO	00	-		N	S	0.0	S	N	0.0	0	COAATTFE  	00	N		0	GN	N		N	N	N	01		N
CV        	X - CURSO DE VALORACIONES		99		N	S	120.0	N	N	0.0	100	COAATTFE  	00	N		N	CV	N		N	N	N	01		N
SBC       	CUOTA COLEGIAL - SUBVENCIÓN	03	-		N	S	0.0	S	N	0.0	810	COAATTFE  	00	N		S	SUBVENCION CUOTAS COLEGIO	N		N	N	N	01		N
0CA       	X - CURSO TECNICO SOBRE ACCESIBILIDAD Y SUPRESION DE BARRERAS		99		N	S	120.0	N	N	0.0	0	COAATTFE  	00	N		N	CU	N		N	N	N	01		N
R50       	PREMAAT - RED. 50% COMPL. 1º	02	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	R5	N		N	N	N	01		N
C2        	PREMAAT - C. COMPL. 2º (JUB).	02	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	C2	N		N	N	N	01		N
AJ        	PREMAAT - MOD. AHORRO DE JUB.	02	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	AJ	N		N	N	N	01		N
PAN       	PREMAAT - PAGO ANTICIPADO	02	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	PAN	N		N	N	N	01		N
RAC       	X - CURSO - REHABILITACIÓN EN LA ARQUITECTURA CANARIA		99		N	S	120.0	N	N	0.0	0	COAATTFE  	00	N		N	RAC	N		N	N	N	01		N
OTP       	PREMAAT - OTROS 	02	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	OTR	N		N	N	N	01		N
ACC       	CUOTA COLEGIAL - ATRASOS	03	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	CUOTA COLEGIAL - ATRASOS	N		N	N	N	01		N
CCG       	CUOTA COLEGIAL - CONSEJO GENERAL	03	-		N	S	8.4000000000000004	S	S	0.0	0	COAATTFE  	00	N		S	CUOTA COLEGIAL - CONSEJO GENERAL	N		N	N	N	01		N
FCP       	FOTOS DE LA COMIDA DEL PATRON		-		N	S	0.0	N	S	0.0	0	COAATTFE  	00	N		S	FCP	N		N	N	N	01		N
PCA       	PREMAAT - CUOTA DE ALTA	02	-		N	S	0.0	S	S	0.0	0	COAATTFE  	00	N		S	PCA	N		N	N	N	01		N
FEC       	FICHAS ENTIDAD DE CONTROL		-		N	S	15.0	N	S	0.0	0	COAATTFE  	00	N		S	FEC	N		N	N	N	01		N
CAD       	X - CURSO AUTODESK		99		N	S	250.0	N	S	0.0	0	COAATTFE  	00	N		S	CAD	N		N	N	N	01		N
CAT       	X - CURSO DE AUTOCAD AVANZADO		99		N	N	180.0	N	N	0.0	0	COAATTFE  	00	N		0	CAT	N		N	N	N	01		N
MIC       	CURSO DE MICROSTATION	07	99		N	S	50.0	N	S	0.0	0	COAATTFE  	00	N		S	MIC	N		N	N	N	01		N
CPA       	X - CURSO PRÁCTICO DE ARQUITEMEDES		99		N	S	150.0	N	S	0.0	0	COAATTFE  	00	N		S	CPA	N		N	N	N	01		N
TAQ       	ALQUILER DE TAQUIMETROS	04	-		S	S	15.0	S	N	0.0	0	COAATTFE  	00	N		S	TAQ	N		N	N	N	01		N
IRC       	INSTRUCCIÓN PARA LA RECEPCIÓN DE CEMENTOS		-		S	S	5.0	N	N	0.0	0	COAATTFE  	00	N		S	IRC	N		N	N	N	01		N
CAAP      	X - CURSO DE AUTOCAD AVANZADO PREINSCRIPCION		99		S	S	30.0	N	N	0.0	0	COAATTFE  	00	N		S	CAAP	N		N	N	N	01		N
CAAN      	X - CURSO DE AUTOCAD AVANZADO (ESP)		99		N	N	90.0	S	N	0.0	0	COAATTFE  	00	N		0	CAAN	N		N	N	N	01		N
ESTC      	X - CURSO DE ENERGÍA SOLAR TÉRMICA		99		S	S	120.0	N	N	0.0	0	COAATTFE  	00	N		S	ESTC	N		N	N	N	01		N
ESTN      	X - CURSO DE ENERGÍA SOLAR TÉRMICA (NO COLEGIADOS)		99		S	S	180.0	N	N	0.0	0	COAATTFE  	00	N		S	ESCN	N		N	N	N	01		N
CEC       	X - CURSO CÁLCULO DE ESTRUCTURAS DE HORMIGON ARMADO. CYPECAD		99		S	S	270.0	N	N	0.0	0	COAATTFE  	00	N		S	CEC	N		N	N	N	01		N
CEP       	X - CURSO CÁLCULO DE ESTRUCTURAS DE HORMIGON ARMADO. CYPECAD P.		99		S	S	450.0	N	N	0.0	0	COAATTFE  	00	N		S	CEP	N		N	N	N	01		N
CO1       	ENERGÍA SOLAR TERMICA		-		S	S	120.0	N	N	0.0	0	COAATTFE  	00	N		S	EST	N		N	N	N	01		N
CO2       	ENERGÍA SOLAR TERMICA (NC)		-		S	S	180.0	N	N	0.0	0	COAATTFE  	00	N		S	ESP	N		N	N	N	01		N
MPA       	MUSAAT - PRIMA ADICIONAL	01	-		S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	MPA	N		N	N	N	01		N
AET       	ALQUILER ESTACION TOTAL	04	-		S	S	60.0	S	N	0.0	0	COAATTFE  	00	N		S	AET	N		N	N	N	01		N
CAQ       	X - CURSO DE ARQUIMEDES		99		S	S	100.0	N	N	0.0	0	COAATTFE  	00	N		S	CAQ	N		N	N	N	01		N
LDE       	LIBRO DEL EDIFICIO		-		S	S	5.0	N	N	0.0	0	COAATTFE  	00	N		S	LDE	N		N	N	N	01		N
RSCI      	LIBRO DEL REGLAMENTO DE SEGURIDAD CONTRA INCENDIOS		-		S	S	4.0	N	N	0.0	0	COAATTFE  	00	N		S	RSCI	N		N	N	N	01		N
SLC       	LIBRO SEGURIDAD LABORAL EN LA CONSTRUCCIÓN		-		S	S	22.0	N	N	0.0	0	COAATTFE  	00	N		S	SLC	N		N	N	N	01		N
CCAD      	X - CURSO CYPECAD.		99		S	S	150.0	N	N	0.0	0	COAATTFE  	00	N		S	CCAD	N		N	N	N	01		N
MAG       	MUSAAT - AMPLIACION DE GARANTIA	01	-		S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	MAG	N		N	N	N	01		N
CPR       	X - CURSO DE PRESTO		99		N	S	70.0	N	S	0.0	0	COAATTFE  	00	N		S	CPR	N		N	N	N	01		N
CMP       	X - CURSO DE MICROSOFT PROJECT		99		N	S	100.0	N	S	0.0	0	COAATTFE  	00	N		S	CMP	N		N	N	N	01		N
CESFV     	X - CURSO ENERGÍA SOLAR FOTOVOLTAICA		99		N	S	90.0	N	S	0.0	0	COAATTFE  	00	N		S	ESFV	N		N	N	N	01		N
GOT       	X - CURSO DE GESTION Y ORGANIZACIÓN DEL TIEMPO		99		N	S	120.0	N	S	0.0	0	COAATTFE  	00	N		S	GOT	N		N	N	N	01		N
MCE       	MUSAAT COLABORACIONES ECONOMICAS	01	-		N	S	0.0	S	S	0.0		COAATTFE  	05	N		0	MCE	N		N	N	N	01		N
ERDP      	ESPECIALIZACIÓN EN LA REDACCIÓN DE DICTAMENES PERICIALES		-		N	N	60.0	N	N	0.0	0	COAATTFE  	00	N		N	ERDP	N		N	N	N	01		N
LPRL      	LIBRO LEY DE PREVENCIÓN DE RIESGOS LABORALES Y NORMAS COMPLEMENTARIAS		-		S	S	15.0	N	S	0.0	0	COAATTFE  	00	N		N	LPRL	N		N	N	N	01		N
CAU       	CURSO DE AUTOCAD	07	99		N	N	90.0	N	N	0.0	0	COAATTFE  	00	N		0	CAU	N		N	N	N	01		N
105       	MUSAAT PRIMA TASADORES	01	-		S	S	0.0	S	N	0.0	0	COAATTFE  	00	N		S	PT	N		N	N	N	01		N
PTP       	X - CURSO PROTOPO		99		S	S	150.0	N	N	0.0	0	COAATTFE  	00	N		S	PTP	N		N	N	N	01		N
PTNC      	X - CURSO PROTOPO (NC)		99		S	S	200.0	N	N	0.0	0	COAATTFE  	00	N		S	PTPN	N		N	N	N	01		N
CT        	GASTOS POR GESTION ADMINISTRATIVA EN TRAMITACIÓN	05	-	7000000003	S	S	0.0	S	S	0.0	210	COAATTFE  	05	N	N	N		N		S	N	N	01		N
CPM       	X - CURSO DE PROJECT MANAGEMENT (C)		99		S	S	300.0	N	N	0.0	0	COAATTFE  	00	N		S	CPM	N		N	N	N	01		N
CPI       	X - CURSO DE PROMOCIONES INMOBILIARIAS		99		S	S	285.0	N	N	0.0	0	COAATTFE  	00	N		S	CPI	N		N	N	N	01		N
PMA       	X - CURSO DE PROJECT MANAGEMENT		99		N	S	350.0	N	S	0.0	0	COAATTFE  	00	N		S	PMA	N		N	N	N	01		N
LPOH      	LIBRO - PUESTA EN OBRA DEL HORMIGÓN		-		N	S	20.0	N	S	0.0	0	COAATTFE  	00	N		S	LPOH	N		N	N	N	01		N
LCTE      	LIBRO - CODIGO TECNICO DE LA EDIFICACIÓN		-		N	S	25.0	N	S	0.0	0	COAATTFE  	00	N		S	LCTE	N		N	N	N	01		N
PAV       	X - CURSO DE PRESTO AVANZADO		99		N	S	100.0	N	S	0.0	0	COAATTFE  	00	N		S	PAV	N		N	N	N	01		N
PAV2      	X - CURSO DE PRESTO AVANZADO N.C.		99		N	S	150.0	N	S	0.0	0	COAATTFE  	00	N		S	PAV2	N		N	N	N	01		N
CYP       	CURSO DE CYPECAD I	07	99		N	S	200.0	N	N	0.0	0	COAATTFE  	00	N		N	CYP	N		N	N	N	01		N
CYP2      	CURSO DE CYPECAD I N.C.	07	99		N	S	280.0	N	N	0.0	0	COAATTFE  	00	N		N	CYP2	N		N	N	N	01		N
JFCTE     	JORNADAS FORMATIVAS C.T.E.		-		N	S	30.0	N	S	0.0	0	COAATTFE  	00	N		S	JFCT	N		N	N	N	01		N
JFCT2     	JORNADAS FORMATIVAS C.T.E.N.C.		-		N	S	45.0	N	S	0.0	0	COAATTFE  	00	N		S	JFC2	N		N	N	N	01		N
LC        	RELACION DE COLEGIADOS EN SOPORTE MAGNETICO		-		N	S	60.0	N	S	0.0	0	COAATTFE  	00	N		S	LC	N		N	N	N	01		N
SCAP      	SEMINARIO SOBRE COMPETENCIAS Y ATRIBUCIOES PROFESIONALES DE LOS APAREJADORES Y ARQUITECTOS TECNICOS		-		N	S	15.0	N	S	0.0	0	COAATTFE  	00	N		S	SCAP	N		N	N	N	01		N
SCAN      	SEMINARIO SOBRE COMPETENCIAS Y ATRIBUCIOES PROFESIONALES DE LOS APAREJADORES Y ARQUITECTOS TECNICOS (NC)		-		N	S	30.0	N	S	0.0		COAATTFE  	00	N		S	SCAN	N		N	N	N	01		N
SDMC      	SEMINARIO SOBRE AUTORIDAD Y DOTES DE MANDO		-		N	S	50.0	N	S	0.0		COAATTFE  	00	N		S	SDMC	N		N	N	N	01		N
SDMN      	SEMINARIO SOBRE AUTORIDAD Y DOTES DE MANDO - (NC)		-		N	S	75.0	N	S	0.0		COAATTFE  	00	N		S	SDMN	N		N	N	N	01		N
CIB       	X - CURSO DE INICIACIÓN AL BUCEO		99		N	S	200.0	N	S	0.0		COAATTFE  	00	N		S	CIB	N		N	N	N	01		N
EXS       	EXCURSIÓN DE SENDERISMO		-		N	S	10.0	N	S	0.0	0	COAATTFE  	00	N		S	EXS	N		N	N	N	01		N
IDUC      	X - CURSO INTRODUCCIÓN AL DERECHO URBANÍSTICO EN CANARIAS		99		N	S	90.0	N	S	0.0	0	COAATTFE  	00	N		S	IDUC	N		N	N	N	01		N
IDU2      	X - CURSO INTRODUCCIÓN AL DERECHO URBANÍSTICO EN CANARIAS (NC)		99		N	S	150.0	N	S	0.0	0	COAATTFE  	00	N		S	IDU2	N		N	N	N	01		N
SSL       	SEMINARIO SOBRE LIDERAZGO		-		N	S	50.0	N	S	0.0	0	COAATTFE  	00	N		S	SSL	N		N	N	N	01		N
SSL2      	SEMINARIO SOBRE LIDERAZGO (NC)		-		N	S	75.0	N	S	0.0	0	COAATTFE  	00	N		S	SSL2	N		N	N	N	01		N
ASUM      	COLABORACIÓN  SALÓN USOS MÚLTIPLES	00	-		N	N	0.0	S	N	0.0	0	COAATTFE  	00	N		N	ASUM	N		N	N	N	01		N
JFSE      	JORNADAS FORMATIVAS CTE. SEGURIDAD ESTRUCTURAL		-		N	N	30.0	N	N	0.0	0	COAATTFE  	00	N		N	JSE	N		N	N	N	01		N
JFSA      	JORNADAS FORMATIVAS CTE. SALUBRIDAD Y PROTECCION FRENTE AL RUIDO		-		N	N	30.0	N	N	0.0	0	COAATTFE  	00	N		N	JSA	N		N	N	N	01		N
JFSA2     	JORNADAS FORMATIVAS CTE. SALUBRIDAD Y PROTECCION FRENTE AL RUIDO (NC)		-		N	N	45.0	N	N	0.0	0	COAATTFE  	00	N		N	JSA2	N		N	N	N	01		N
JFCE      	JORNADA SOBRE LA FIGURA DEL COORDINADOR DE SEGURIDAD Y SALUD EN EL SECTOR DE LA CONSTRUCCIÓN		-		N	N	55.0	N	N	0.0	0	COAATTFE  	00	N		N	JFCE	N		N	N	N	01		N
CMWC      	X - CURSO MS WORD		99		N	N	100.0	N	N	0.0	0	COAATTFE  	00	N		N	CMWC	N		N	N	N	01		N
CMW       	X - CURSO MS WORD (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N	CMW	N		N	N	N	01		N
CDSC      	X - CURSO DIBAC - SKETCHUP		99		N	N	100.0	N	N	0.0	0	COAATTFE  	00	N		N	CDSC	N		N	N	N	01		N
CDS       	X - CURSO DIBAC - SKETCHUP (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N	CDS	N		N	N	N	01		N
CPPC      	X - CURSO MS POWER POINT		99		N	N	100.0	N	N	0.0	0	COAATTFE  	00	N		N	CPPC	N		N	N	N	01		N
CPP       	X - CURSO MS POWER POINT (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N	CPP	N		N	N	N	01		N
CMEC      	X - CURSO MS EXCEL		99		N	N	100.0	N	N	0.0	0	COAATTFE  	00	N		N	CMEC	N		N	N	N	01		N
CME       	X - CURSO MS EXCEL (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N	CME	N		N	N	N	01		N
CMAC      	X - CURSO MS ACCESS		99		N	N	100.0	N	N	0.0	0	COAATTFE  	00	N		N	CMAC	N		N	N	N	01		N
CMA       	X - CURSO MS ACCESS (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N	CMA	N		N	N	N	01		N
CAC       	X - CURSO DE AUTOCAD		99		N	N	120.0	N	N	0.0	0	COAATTFE  	00	N		N	CAC	N		N	N	N	01		N
CA        	CURSO DE AUTOCAD (NC)	07	99		N	N	130.0	N	N	0.0	0	COAATTFE  	00	N		N	CA	N		N	N	N	01		N
CPC       	X - CURSO DE PRESTO 8		99		N	N	100.0	N	N	0.0	0	COAATTFE  	00	N		N	CPC	N		N	N	N	01		N
CP        	X - CURSO DE PRESTO 8 (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N	CP	N		N	N	N	01		N
CAQN      	X - CURSO DE ARQUIMEDES (NC)		99		N	N	150.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
CC        	X - CURSO DE CIMENTACIONES		99		S	S	60.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CC2       	X - CURSO DE CIMENTACIONES  (NC)		99		S	S	100.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CTEC      	X - CURSO CODIGO TECNICO DE LA EDIFICACION		99		S	S	200.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CCTE2     	X - CURSO CODIGO TECNICO DE LA EDIFICACION (NC)		99		S	S	350.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CMP2      	X - CURSO DE MICROSOFT PROJECT (NC)		99		N	S	200.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CPJB      	CURSO DE PERITACIÓN JUDICIAL BASICO	07	99		S	S	150.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CPJB2     	X - CURSO DE PERITACIÓN JUDICIAL BASICO (NC)		99		S	S	250.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CSEE2     	CURSO SINDROME DEL EDIFICIO ENFERMO (NC)	07	99		N	N	60.0	N	N	0.0	0	COAATTFE  	00	N		0		N		N	N	N	01		N
CSIG      	X - CURSO SOBRE SISTEMAS DE INFORMACIÓN GEOGRÁFICA ARCSGIS		99		N	S	250.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CSIG2     	X - CURSO SOBRE SISTEMAS DE INFORMACIÓN GEOGRÁFICA ARCSGIS (NC)		99		N	S	450.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CUP       	X - CURSO DE URBANISMO Y PLANEAMIENTO		99		N	S	100.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CUP2      	X - CURSO DE URBANISMO Y PLANEAMIENTO (NC)		99		N	S	200.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CVI       	X - CURSO DE VALORACIONES INMOBILIARIAS		99		N	S	300.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CTP       	X - CURSO DE PRÁCTICO DE TOPOGRAFÍA - PROTOPO		99		N	S	200.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
CTP2      	X - CURSO DE PRÁCTICO DE TOPOGRAFÍA - PROTOPO (NC)		99		N	S	350.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
LPGC      	LIBRO ACTUALIZACIÓN PLIEGO GENERAL DE CONDICIONES TECNICAS EN LA EDIFICACIÓN	00	-		N	S	25.0	N	S	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
DBHS      	CTE - DB-HS SALUBRIDAD 		-		N	S	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBHS1     	CTE - DB-HS SALUBRIDAD  (NC)		-		N	S	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSI      	CTE - DB-SI SEGURIDAD INCENDIO		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSI1     	CTE - DB-SI SEGURIDAD INCENDIO (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBHE      	CTE - DB-HE AHORRO ENERGIA		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBHE1     	CTE - DB-HE AHORRO ENERGIA (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
MOD2      	CTE - MODULO II COMPLETO		-		N	N	50.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
MOD21     	CTE - MODULO II COMPLETO (NC)		-		N	N	120.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSE      	CTE - DB-SE - SEGURIDAD ESTRUCTURAL		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSE1     	CTE - DB-SE - SEGURIDAD ESTRUCTURAL (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSEC     	CTE - DB-SE C- CIMIENTOS		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSC1     	CTE - DB-SE C- CIMIENTOS (NC) 		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSEA     	CTE - DB-SE A - ACERO 		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSA1     	CTE - DB-SE A- ACERO (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSEF     	CTE - DB-SE F - FABRICAS		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSF1     	CTE - DB-SE F - FABRICAS (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSEM     	CTE - DB-SE M - MADERA		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
DBSM1     	CTE - DB-SE M - MADERA (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
CTE1      	CTE - TRAMITACIÓN ADMINISTRATIVA Y REQUISITOS FORMALES DE LOS PROYECTOS DE LA EJECUCIÓN Y DEL MANTENIMIENTO		-		N	N	20.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
CTE2      	CTE - TRAMITACIÓN ADMINISTRATIVA Y REQUISITOS FORMALES DE LOS PROYECTOS DE LA EJECUCIÓN Y DEL MANTENIMIENTO (NC)		-		N	N	40.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
MOD1      	CTE - MODULO I COMPLETO		-		N	N	80.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
MOD12     	CTE - MODULO I COMPLETO		-		N	N	120.0	N	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
MCCTE     	LIBRO - MANUAL BASES PARA GESTION DE CALIDAD (CTE)		-		N	S	10.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
LACTE     	ACTUALIZACIÓN DEL CTE	00	-		N	N	20.0	S	N	0.0	0	COAATTFE  	00	N		N		N		N	N	N	01		N
LEFHE     	LIBRO EFHE - LEYNFOR		-		N	S	15.0	N	N	0.0	0	COAATTFE  	00	N		S	LEFHE	N		N	N	N	01		N
LLOE      	LIBRO - LEY DE ORDENACIÓN DE LA EDIFICACIÓN	00	-		N	S	5.0	S	N	0.0	0	COAATTFE  	00	N		N	LLOE	N		N	N	N	01		N
PITE      	PATOLOGIAS ENFOCADAS PARA EL ITE		99		N	S	375.0	N	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
LGCAT     	LIBRO - GESTION EN LA CALIDAD DE LA ARQUITECTURA TÉCNICA	00	69		N	S	17.0	S	N	0.0	0	COAATTFE  	00	N		S		N		N	N	N	01		N
LEHE      	LIBRO EHE 2008		.		N	S	13.0	N	N	0.0	0	COAATTFE  	00	N		S	LEHE	N		N	N	N	01		N
CUR       	CUOTA DE INSCRIPCIÓN EN R.C.S.P.	06	-		N	S	120.0	S	N	0.0	0	COAATTFE  	00	N		S	CUR	N		N	N	N	01		N
CMR       	CUOTA DE MANTENIMIENTO EN R.C.S.P.	00	-		N	S	60.0	S	N	0.0	0	COAATTFE  	00	N		S	CMR	N		N	N	N	01		N
RCD       	RENOVACIÓN DEL CERTIFICADO DIGITAL		-		N	S	30.0	N	N	0.0	0	COAATTFE  	00	N		S	RCD	N		N	N	N	01		N
NCD       	EMISIÓN DEL CERTIFICADO DIGITAL		-		N	S	40.0	N	N	0.0	0	COAATTFE  	00	N		S	ECD	N		N	N	N	01		N
CPRE      	CURSO DE PRESTO	07	99		N	S	135.0	N	N	0.0	0	COAATTFE  	00	N		S	CPRE	N		N	N	N	01		N
CPRENC    	CURSO DE PRESTO N.C.	07	99		N	S	210.0	N	N	0.0	0	COAATTFE  	00	N		S	CPREN	N		N	N	N	01		N
LOCTE     	LIBRO DOCUMENTACIÓN DEL CONTROL DE LA OBRA EN CUMPLIMIENTO DEL C.T.E		-		N	S	45.0	N	N	0.0	0	COAATTFE  	00	N		S	LOCTE	N		N	N	N	01		N
JTEHE     	JORNADA TECNICA EHE 08		-		N	S	96.0	N	N	0.0	0	COAATTFE  	00	N		S	JTEHE	N		N	N	N	01		N
JTEHE N.C 	JORNADA TECNICA EHE 08 (N.C.)		-		N	S	130.0	N	N	0.0	0	COAATTFE  	00	N		S	N.C	N		N	N	N	01		N
CPE-F(N.C)	CURSO PATOLOGIA EN LA EDIFICACION -  FORJADOS (N.C.) 	07	99		N	S	125.0	N	N	0.0	0	COAATTFE  	00	N		S	N.C.	N		N	N	N	01		N
